DATA1,DATA2,DATA3
ABplppaapa,221.108333333333,657.70623890505
ABplppaapa,222.516666666667,555.808089215535
ABplppaapa,223.925,76.7544504154786
ABplppaapa,225.333333333333,565.071557369127
ABplppaapa,226.741666666667,497.580575107241
ABplppaapa,228.15,59.5508667016645
ABplppaapa,229.558333333333,375.832136517171
ABplppaapa,230.966666666667,246.14358236688
ABplppaapa,232.375,459.203349899502
ABplppaapa,233.783333333333,366.568668363579
ABplppaapa,235.191666666667,236.880114213288
ABplppaapa,236.6,696.083464112789
ABplppaapa,238.008333333333,596.832019610015
ABplppaapa,239.416666666667,453.90993952602
ABplppaapaa,240.825,148.215490457476
ABplppaapaa,242.233333333333,218.353177906103
ABplppaapaa,243.641666666667,0
ABplppaapaa,245.05,776.807972308379
ABplppaapaa,246.458333333333,448.616529152539
ABplppaapaa,247.866666666667,195.856183818808
ABplppaapaa,249.275,219.676530499473
ABplppaapaa,250.683333333333,390.389015044245
ABplppaapaa,252.091666666667,283.197454981249
ABplppaapaa,253.5,109.838265249737
ABplppaapaa,254.908333333333,92.6346815359225
ABplppaapaa,256.316666666667,598.155372203385
ABplppaapaa,257.725,518.754216601166
ABplppaapaa,259.133333333333,0
ABplppaapaa,260.541666666667,43.6706355812206
ABplppaapaa,261.95,668.293059652012
ABplppaapaa,263.358333333333,768.867856748157
ABplppaapaa,264.766666666667,89.9879763491819
ABplppaapaa,266.175,177.329247511623
ABplppaapaa,267.583333333333,88.6646237558115
ABplppaapaa,268.991666666667,321.574680188988
ABplppaapaa,270.4,80.7245081955896
ABplppaapap,240.825,227.616646059695
ABplppaapap,242.233333333333,337.454911309432
ABplppaapap,243.641666666667,504.197338074092
ABplppaapap,245.05,170.712484544771
ABplppaapap,246.458333333333,457.879997306131
ABplppaapap,247.866666666667,661.676296685161
ABplppaapap,249.275,457.879997306131
ABplppaapap,250.683333333333,271.287281640916
ABplppaapap,252.091666666667,734.460689320528
ABplppaapap,253.5,428.766240251984
ABplppaapap,254.908333333333,484.347049173538
ABplppaapap,256.316666666667,579.628435896201
ABplppaapap,257.725,426.119535065243
ABplppaapap,259.133333333333,486.993754360278
ABplppaapap,260.541666666667,121.74843859007
ABplppaapap,261.95,206.44300456577
ABplppaapap,263.358333333333,636.532597411125
ABplppaapap,264.766666666667,1212.19097552721
ABplppaapap,266.175,584.921846269682
ABplppaapap,267.583333333333,856.209127910598
